temps (s);temps (ms);temps;ACTU;MILIEU;LASER
276.816;276816;279842;47.16;43.36;39.51
277.32;277320;280346;47.16;43.36;39.51
277.823;277823;280849;47.16;43.36;39.51
278.327;278327;281353;47.16;43.36;39.51
278.83;278830;281856;47.16;43.48;39.62
279.333;279333;282359;47.16;43.48;39.62
279.836;279836;282862;47.16;43.48;39.73
280.34;280340;283366;47.16;43.48;39.73
280.843;280843;283869;47.16;43.48;39.73
281.346;281346;284372;47.16;43.59;39.73
281.849;281849;284875;47.16;43.59;39.83
282.353;282353;285379;47.16;43.59;39.83
282.856;282856;285882;47.16;43.59;39.83
283.36;283360;286386;47.16;43.59;39.83
283.862;283862;286888;47.16;43.71;39.83
284.366;284366;287392;47.16;43.71;39.94
284.87;284870;287896;47.16;43.71;39.94
285.373;285373;288399;47.16;43.71;39.94
285.877;285877;288903;47.16;43.71;40.05
286.379;286379;289405;47.16;43.71;40.05
286.883;286883;289909;47.16;43.82;40.05
287.386;287386;290412;47.16;43.82;40.05
287.89;287890;290916;47.16;43.82;40.05
288.393;288393;291419;47.16;43.82;40.05
288.896;288896;291922;47.16;43.82;40.15
289.399;289399;292425;47.16;43.82;40.15
289.903;289903;292929;47.16;43.82;40.15
290.406;290406;293432;47.16;43.82;40.26
290.91;290910;293936;47.16;43.82;40.26
291.412;291412;294438;47.16;43.94;40.26
291.916;291916;294942;47.16;43.94;40.26
292.42;292420;295446;47.16;43.94;40.37
292.923;292923;295949;47.16;43.94;40.37
293.427;293427;296453;47.16;43.94;40.37
293.929;293929;296955;47.16;43.94;40.37
294.433;294433;297459;47.16;44.05;40.37
294.936;294936;297962;47.16;44.05;40.37
295.44;295440;298466;47.16;44.05;40.37
295.943;295943;298969;47.16;44.05;40.37
296.446;296446;299472;47.16;44.05;40.48
296.949;296949;299975;47.16;44.05;40.48
297.453;297453;300479;47.16;44.17;40.48
297.957;297957;300983;47.28;44.17;40.48
298.46;298460;301486;47.16;44.17;40.48
298.963;298963;301989;47.16;44.17;40.48
299.466;299466;302492;47.16;44.17;40.48
299.97;299970;302996;47.28;44.17;40.48
300.473;300473;303499;47.16;44.17;40.48
300.977;300977;304003;47.16;44.17;40.48
301.479;301479;304505;47.16;44.17;40.59
301.983;301983;305009;47.16;44.28;40.48
302.486;302486;305512;47.16;44.17;40.59
302.99;302990;306016;47.16;44.17;40.59
303.493;303493;306519;47.16;44.28;40.59
303.996;303996;307022;47.28;44.28;40.59
304.5;304500;307526;47.28;44.28;40.59
305.003;305003;308029;47.28;44.28;40.59
305.507;305507;308533;47.28;44.28;40.69
306.01;306010;309036;47.28;44.40;40.69
306.513;306513;309539;47.28;44.28;40.69
307.016;307016;310042;47.28;44.28;40.69
307.52;307520;310546;47.16;44.40;40.69
308.023;308023;311049;47.28;44.40;40.69
308.527;308527;311553;47.28;44.40;40.69
309.029;309029;312055;47.28;44.40;40.80
309.533;309533;312559;47.28;44.40;40.69
310.036;310036;313062;47.28;44.40;40.80
310.54;310540;313566;47.28;44.40;40.80
311.042;311042;314068;47.28;44.40;40.80
311.546;311546;314572;47.28;44.52;40.80
312.049;312049;315075;47.28;44.52;40.80
312.553;312553;315579;47.28;44.52;40.80
313.057;313057;316083;47.28;44.52;40.80
313.559;313559;316585;47.28;44.52;40.80
314.063;314063;317089;47.28;44.52;40.80
314.566;314566;317592;47.28;44.52;40.80
315.07;315070;318096;47.28;44.52;40.80
315.573;315573;318599;47.28;44.52;40.91
316.076;316076;319102;47.28;44.52;40.91
316.579;316579;319605;47.28;44.52;40.91
